PHOBOS
------------------------
eta	yield	yeilderr
------------------------
cent0
-3.500000000	305.841094971	50.274291992
-3.299999952	333.071838379	54.562465668
-3.099999905	374.586608887	54.424484253
-2.900000095	401.615356445	57.060039520
-2.700000048	423.846862793	59.888004303
-2.500000000	446.057342529	62.349822998
-2.299999952	465.166259766	64.753562927
-2.099999905	474.509704590	67.025421143
-1.899999976	491.803741455	68.794281006
-1.700000048	499.619689941	70.032600403
-1.500000000	507.071655273	71.073860168
-1.299999952	504.871276855	70.439712524
-1.100000024	502.994506836	69.803169250
-0.899999976	500.652709961	68.817413330
-0.699999988	498.355499268	67.519432068
-0.500000000	496.568115234	66.133850098
-0.300000012	492.063201904	65.423347473
-0.100000001	499.160247803	64.678909302
0.100000001	497.454711914	64.604888916
0.300000012	499.116699219	65.038383484
0.500000000	492.756835938	66.624320984
0.699999988	498.455383301	67.512023926
0.899999976	502.547943115	68.764907837
1.100000024	499.293762207	70.026626587
1.299999952	501.843536377	70.366744995
1.500000000	504.434967041	70.639587402
1.700000048	499.210510254	69.982597351
1.899999976	491.004516602	68.711662292
2.099999905	477.163970947	66.875610352
2.299999952	466.767700195	64.828765869
2.500000000	447.374114990	62.307304382
2.700000048	425.369232178	59.748500824
2.900000095	404.320404053	57.031211853
3.099999905	385.026580811	55.995018005
3.299999952	347.513061523	52.046955109
3.500000000	317.151641846	50.115383148
3.700000048	279.508178711	47.319274902
3.900000095	242.276840210	44.821983337
4.099999905	211.130142212	42.329303741
4.300000191	181.262588501	39.769374847
4.500000000	148.316314697	36.163108826
4.699999809	123.011367798	32.781475067
4.900000095	101.039100647	29.293531418
5.099999905	81.561210632	25.742341995
5.300000191	65.085655212	22.311729431
------------------------
cent2
-5.300000191	51.684448242	18.548284531
-5.099999905	60.404582977	21.028766632
-4.900000095	75.772163391	23.253326416
-4.699999809	95.514541626	25.744876862
-4.500000000	108.919334412	27.766962051
-4.300000191	133.481521606	29.294124603
-4.099999905	157.210144043	30.929164886
-3.900000095	175.467025757	32.373504639
-3.700000048	199.757751465	33.559959412
-3.500000000	221.848098755	35.145580292
-3.299999952	242.192779541	37.154216766
-3.099999905	271.676269531	38.234764099
-2.900000095	283.927673340	40.121784210
-2.700000048	299.881927490	42.168472290
-2.500000000	313.033325195	44.256885529
-2.299999952	325.995819092	46.030395508
-2.099999905	335.804992676	47.702579498
-1.899999976	346.124816895	49.347511292
-1.700000048	351.223266602	50.267921448
-1.500000000	354.210723877	50.618087769
-1.299999952	352.897949219	50.192684174
-1.100000024	352.473175049	49.571605682
-0.899999976	354.054321289	48.620155334
-0.699999988	352.765930176	47.331531525
-0.500000000	349.732238770	46.021438599
-0.300000012	350.200561523	45.047927856
-0.100000001	346.831176758	44.779788971
0.100000001	348.113220215	44.682308197
0.300000012	347.047698975	45.154853821
0.500000000	349.404266357	46.031593323
0.699999988	349.036865234	47.411884308
0.899999976	350.965362549	48.596549988
1.100000024	349.919311523	49.718189240
1.299999952	351.545959473	50.180011749
1.500000000	348.483673096	50.350921631
1.700000048	347.157867432	49.904468536
1.899999976	343.288635254	49.049758911
2.099999905	338.670318604	47.913852692
2.299999952	327.304748535	46.022514343
2.500000000	315.827362061	44.075519562
2.700000048	300.628753662	42.087543488
2.900000095	284.744415283	40.024108887
3.099999905	276.584930420	39.654766083
3.299999952	253.079498291	36.909027100
3.500000000	229.078399658	35.000286102
3.700000048	199.130966187	33.669677734
3.900000095	178.268402100	32.089420319
4.099999905	154.803787231	30.763917923
4.300000191	133.000030518	29.268444061
4.500000000	111.683021545	27.499662399
4.699999809	93.243301392	25.480901718
4.900000095	78.598876953	23.436746597
5.099999905	63.335784912	20.913801193
5.300000191	52.994705200	18.827863693
------------------------
cent3

-5.300000191	40.981140137	13.533489227
-5.099999905	48.101478577	14.920256615
-4.900000095	58.486591339	16.566061020
-4.699999809	70.522567749	18.207746506
-4.500000000	77.782028198	20.081724167
-4.300000191	93.465065002	20.831468582
-4.099999905	109.240913391	21.837030411
-3.900000095	123.177246094	22.953994751
-3.700000048	136.880279541	24.200607300
-3.500000000	151.182357788	25.283939362
-3.299999952	165.844223022	26.104866028
-3.099999905	183.283630371	26.839244843
-2.900000095	191.909439087	28.011386871
-2.700000048	204.114318848	29.060028076
-2.500000000	209.879348755	30.415132523
-2.299999952	221.708297729	31.377899170
-2.099999905	225.853530884	32.160987854
-1.899999976	230.802871704	32.899021149
-1.700000048	235.839721680	33.570926666
-1.500000000	236.911941528	33.640445709
-1.299999952	239.285583496	33.715141296
-1.100000024	237.812438965	33.179565430
-0.899999976	237.893508911	32.627338409
-0.699999988	236.014007568	31.883516312
-0.500000000	237.033157349	31.246345520
-0.300000012	234.319595337	30.629623413
-0.100000001	234.103546143	30.441581726
0.100000001	232.349670410	30.614013672
0.300000012	233.450088501	30.683841705
0.500000000	234.004272461	31.231403351
0.699999988	235.645355225	31.892492294
0.899999976	236.420578003	32.599117279
1.100000024	235.035995483	33.283008575
1.299999952	233.521255493	33.781570435
1.500000000	234.757705688	33.577377319
1.700000048	232.151733398	33.382915497
1.899999976	231.462402344	32.949466705
2.099999905	229.165100098	32.589065552
2.299999952	219.417709351	31.245199203
2.500000000	210.954772949	30.268451691
2.700000048	202.076889038	29.162685394
2.900000095	193.281692505	27.907430649
3.099999905	187.912536621	28.051490784
3.299999952	173.104156494	26.360670090
3.500000000	158.665527344	25.289154053
3.700000048	138.871643066	23.840194702
3.900000095	123.782196045	22.882886887
4.099999905	109.836677551	21.828777313
4.300000191	94.937095642	20.708398819
4.500000000	80.156425476	19.514873505
4.699999809	70.062309265	18.129802704
4.900000095	59.255317688	16.692644119
5.099999905	48.607997894	14.968566895
5.300000191	41.960189819	13.864348412
------------------------
cent4
-5.300000191	29.877424240	10.094471931
-5.099999905	33.691337585	10.890534401
-4.900000095	40.900539398	11.909974098
-4.699999809	49.878662109	13.168190956
-4.500000000	53.220970154	14.177947998
-4.300000191	64.484451294	14.409795761
-4.099999905	74.361709595	15.067038536
-3.900000095	82.292579651	15.666525841
-3.700000048	90.220283508	16.509441376
-3.500000000	98.831459045	17.217321396
-3.299999952	108.680870056	17.444869995
-3.099999905	121.947540283	18.445966721
-2.900000095	125.489776611	18.522056580
-2.700000048	131.561279297	19.233682632
-2.500000000	135.853836060	20.076572418
-2.299999952	141.713897705	20.570671082
-2.099999905	145.558090210	21.139114380
-1.899999976	149.144577026	21.593736649
-1.700000048	152.068557739	21.952989578
-1.500000000	153.668945312	22.113079071
-1.299999952	154.095886230	22.049238205
