pt vn ptErr vnErr
------------------------
pion	v2	cent0
1.889999986	0.071199998	0.025033778	0.003100000
2.089999914	0.069300003	0.023031283	0.004000000
2.289999962	0.071500003	0.023036711	0.006000000
2.490000010	0.077799998	0.025039170	0.008000000
2.690000057	0.099799998	0.031052213	0.012000000
2.890000105	0.086900003	0.027047366	0.017000001
3.210000038	0.061700001	0.019031815	0.020000000
3.720000029	0.036600001	0.011022250	0.030999999
------------------------
pion	v2	cent3
0.490000010	0.064620003	0.002315794	0.000070000
0.689999998	0.093860000	0.003125700	0.000100000
0.889999986	0.119530000	0.004031129	0.000130000
1.090000033	0.141700000	0.004044750	0.000180000
1.289999962	0.159260005	0.005048762	0.000240000
1.490000010	0.173500001	0.005048762	0.000320000
1.690000057	0.183400005	0.005063596	0.000400000
1.889999986	0.191100001	0.006053098	0.000500000
2.089999914	0.197699994	0.006053098	0.000700000
2.289999962	0.198899999	0.006053098	0.001000000
2.490000010	0.198100001	0.006053098	0.001400000
2.690000057	0.197099999	0.006053098	0.002000000
2.890000105	0.197899997	0.006053098	0.002800000
3.210000038	0.194000006	0.006053098	0.003400000
3.710000038	0.179600000	0.005063596	0.005000000
------------------------
pion	v3	cent3
0.490000010	0.014100000	0.002506471	0.000220000
0.689999998	0.025100000	0.003415026	0.000300000
0.889999986	0.036600001	0.004031129	0.000400000
1.090000033	0.047100000	0.005035871	0.000500000
1.289999962	0.058600001	0.007045566	0.000700000
1.490000010	0.065099999	0.007045566	0.001000000
1.690000057	0.075099997	0.008062258	0.001300000
1.889999986	0.076399997	0.008062258	0.001700000
2.089999914	0.078900002	0.009055384	0.002300000
2.289999962	0.086300001	0.010060318	0.003100000
2.490000010	0.081900001	0.009066973	0.004000000
2.690000057	0.097700000	0.011076552	0.006000000
2.890000105	0.086400002	0.010060318	0.009000000
3.210000038	0.087200001	0.010060318	0.010000000
3.710000038	0.099100001	0.011076552	0.016000001
------------------------
pion	v4	cent3
0.490000010	0.013700000	0.010007997	0.000600000
0.689999998	0.023000000	0.014017490	0.000800000
0.889999986	0.035399999	0.019026298	0.001100000
1.090000033	0.042800002	0.021040199	0.001500000
1.289999962	0.057799999	0.026055519	0.002000000
1.490000010	0.066299997	0.027066769	0.002700000
1.690000057	0.073399998	0.028086297	0.004000000
1.889999986	0.069499999	0.026076810	0.005000000
2.089999914	0.087899998	0.031108841	0.006000000
2.289999962	0.101000004	0.035128336	0.009000000
2.490000010	0.075599998	0.025096614	0.012000000
2.690000057	0.079499997	0.026101533	0.017000001
2.890000105	0.071699999	0.023095671	0.025000000
3.210000038	0.073799998	0.023104979	0.028999999
3.710000038	0.119400002	0.040152833	0.050000001
------------------------
pion	v2	cent4
0.490000010	0.070979998	0.002409170	0.000100000
0.689999998	0.102320001	0.003313608	0.000140000
0.889999986	0.130030006	0.004019951	0.000190000
1.090000033	0.152930006	0.005024938	0.000250000
1.289999962	0.171210006	0.005024938	0.000340000
1.490000010	0.185299993	0.006029925	0.000500000
1.690000057	0.195999995	0.006029925	0.000600000
1.889999986	0.203199998	0.006029925	0.000800000
2.089999914	0.207499996	0.007025667	0.001000000
2.289999962	0.208399996	0.007025667	0.001400000
2.490000010	0.212799996	0.007025667	0.002000000
2.690000057	0.206799999	0.007025667	0.002800000
2.890000105	0.206200004	0.007025667	0.004000000
3.210000038	0.201199993	0.006029925	0.005000000
3.720000029	0.186900005	0.006029925	0.007000000
------------------------
pion	v3	cent4
0.490000010	0.014270000	0.003214032	0.000350000
0.689999998	0.025699999	0.005024938	0.000500000
0.889999986	0.035599999	0.006053098	0.000700000
1.090000033	0.047499999	0.008062258	0.000900000
1.289999962	0.057900000	0.009079647	0.001200000
1.490000010	0.066799998	0.011088734	0.001600000
1.690000057	0.071599998	0.011101801	0.002100000
1.889999986	0.075000003	0.012106197	0.002800000
2.089999914	0.075000003	0.012106197	0.004000000
2.289999962	0.081900001	0.013124024	0.005000000
2.490000010	0.077600002	0.012119818	0.007000000
2.690000057	0.067400001	0.011088734	0.010000000
2.890000105	0.082000002	0.013124024	0.014000000
3.210000038	0.066000000	0.011088734	0.016000001
3.720000029	0.052000001	0.008075272	0.025000000
------------------------
pion	v4	cent4
0.490000010	0.015600000	0.010024470	0.001300000
0.689999998	0.029300001	0.015065191	0.001800000
0.889999986	0.043800000	0.019115699	0.002500000
1.090000033	0.053800002	0.021160340	0.003300000
1.289999962	0.068700001	0.025216861	0.004000000
1.490000010	0.077000000	0.026305893	0.006000000
1.690000057	0.092000000	0.030265491	0.008000000
1.889999986	0.093000002	0.030265491	0.010000000
2.089999914	0.098999999	0.031400636	0.014000000
2.289999962	0.112000003	0.035355337	0.018999999
2.490000010	0.127000004	0.040447496	0.026000001
2.690000057	0.064700000	0.020238824	0.039999999
2.890000105	0.150999993	0.050487623	0.050000001
3.210000038	0.071900003	0.022276670	0.059999999
3.720000029	0.166999996	0.050635956	0.090000004
------------------------
pion	v2	cent5
0.490000010	0.072130002	0.002606933	0.000170000
0.689999998	0.104319997	0.004009102	0.000220000
0.889999986	0.132449999	0.005011546	0.000310000
1.090000033	0.155000001	0.006013318	0.000400000
1.289999962	0.174600005	0.006020797	0.000600000
1.490000010	0.186600000	0.007017835	0.000800000
1.690000057	0.196400002	0.007017835	0.001000000
1.889999986	0.204099998	0.007017835	0.001300000
2.089999914	0.206499994	0.007017835	0.001700000
2.289999962	0.206200004	0.007017835	0.002400000
2.490000010	0.207200006	0.008015610	0.003300000
2.690000057	0.211899996	0.008015610	0.005000000
2.890000105	0.207100004	0.008015610	0.007000000
3.220000029	0.200299993	0.007017835	0.007000000
3.720000029	0.190799996	0.007017835	0.011000000
------------------------
pion	v3	cent5
0.490000010	0.012300000	0.005015974	0.000600000
0.689999998	0.021299999	0.007045566	0.000800000
0.889999986	0.033900000	0.010071742	0.001200000
1.090000033	0.041400000	0.011101801	0.001600000
1.289999962	0.049400002	0.013110682	0.002100000
1.490000010	0.055799998	0.015132746	0.002900000
1.690000057	0.065800004	0.017154884	0.004000000
1.889999986	0.050999999	0.014115240	0.005000000
2.089999914	0.065399997	0.017154884	0.007000000
2.289999962	0.067000002	0.017168576	0.009000000
2.490000010	0.065300003	0.017154884	0.012000000
2.690000057	0.059799999	0.016137224	0.017000001
2.890000105	0.002310000	0.004000800	0.024000000
3.220000029	0.024800001	0.008050467	0.028000001
3.720000029	0.047300000	0.013110682	0.039999999
------------------------
pion	v4	cent5
0.490000010	0.004860000	0.001423938	0.000400000
0.689999998	0.009100000	0.001964688	0.000500000
0.889999986	0.014800000	0.002912044	0.000700000
1.090000033	0.019800000	0.004148494	0.001000000
1.289999962	0.020600000	0.004148494	0.001400000
1.490000010	0.029100001	0.005220153	0.001800000
1.690000057	0.029999999	0.005249762	0.002400000
1.889999986	0.037500001	0.007280110	0.003200000
2.089999914	0.037200000	0.007280110	0.004000000
2.289999962	0.033599999	0.006264184	0.006000000
2.490000010	0.035000000	0.006293647	0.008000000
2.690000057	0.046100002	0.008381528	0.011000000
2.890000105	0.012700000	0.002596151	0.016000001
3.220000029	0.067000002	0.012649111	0.017999999
3.720000029	0.045499999	0.008352245	0.028000001
------------------------
kaon	v2	cent0
0.509999990	0.007960000	0.005001690	0.000320000
0.699999988	0.019130001	0.005008992	0.000260000
0.899999976	0.030719999	0.005024938	0.000270000
1.100000024	0.040750001	0.006029925	0.000320000
1.289999962	0.049199998	0.006053098	0.000400000
1.490000010	0.056699999	0.006067125	0.000500000
1.700000048	0.061700001	0.006082762	0.000600000
1.889999986	0.067299999	0.006100000	0.000700000
2.089999914	0.071099997	0.006100000	0.000900000
2.289999962	0.072700001	0.006100000	0.001200000
2.490000010	0.073200002	0.006118823	0.001500000
2.690000057	0.078199998	0.006118823	0.002000000
2.890000105	0.070600003	0.006100000	0.002700000
3.210000038	0.068999998	0.006100000	0.003200000
3.710000038	0.061500002	0.006082762	0.006000000
------------------------
kaon	v3	cent0
0.509999990	0.001499000	0.000501088	0.000600000
0.699999988	0.008250000	0.000626418	0.000500000
0.899999976	0.016000001	0.000984886	0.000500000
1.100000024	0.024000000	0.001300000	0.000600000
1.289999962	0.032699998	0.001746425	0.000700000
1.490000010	0.040800001	0.002193171	0.000800000
1.700000048	0.047600001	0.002549510	0.001000000
1.889999986	0.054900002	0.002863564	0.001300000
2.089999914	0.062399998	0.003310589	0.001600000
2.289999962	0.062399998	0.003310589	0.002000000
2.490000010	0.068700001	0.003624914	0.002700000
2.690000057	0.074400000	0.004346263	0.003500000
2.890000105	0.070299998	0.003757659	0.005000000
3.210000038	0.067599997	0.003534119	0.006000000
3.710000038	0.065399997	0.003443835	0.010000000
------------------------
kaon	v4	cent0
0.509999990	-0.003210000	0.001910497	0.001400000
0.699999988	0.004550000	0.002020916	0.001100000
0.899999976	0.007400000	0.002353721	0.001200000
1.100000024	0.013700000	0.003324154	0.001400000
1.289999962	0.017800000	0.004148494	0.001600000
1.490000010	0.026900001	0.005281098	0.002000000
1.700000048	0.033500001	0.006356886	0.002500000
1.889999986	0.037599999	0.006462198	0.003100000
2.089999914	0.036200002	0.006425729	0.004000000
2.289999962	0.046700001	0.007615773	0.005000000
2.490000010	0.053500000	0.008692526	0.007000000
2.690000057	0.047600001	0.008544005	0.009000000
2.890000105	0.050900001	0.008616264	0.011000000
3.210000038	0.067000002	0.010770329	0.014000000
3.710000038	0.041200001	0.006539113	0.024000000
------------------------
kaon	v2	cent1
0.509999990	0.021029999	0.005001690	0.000290000
0.699999988	0.039190002	0.006005206	0.000230000
0.899999976	0.057980001	0.006013318	0.000240000
1.100000024	0.074929997	0.006020797	0.000280000
1.299999952	0.089089997	0.006029925	0.000330000
1.490000010	0.102200001	0.006040696	0.000400000
1.700000048	0.112700000	0.006040696	0.000500000
1.889999986	0.120499998	0.007045566	0.000600000
2.089999914	0.126599997	0.007045566	0.000800000
2.289999962	0.129199997	0.007045566	0.001000000
2.490000010	0.131600007	0.007045566	0.001300000
2.690000057	0.133300006	0.007057620	0.001700000
2.890000105	0.136800006	0.007057620	0.002200000
3.210000038	0.128399998	0.007045566	0.002600000
3.710000038	0.121100001	0.007045566	0.004000000
------------------------
kaon	v3	cent1
0.509999990	0.003280000	0.000702567	0.000700000
0.699999988	0.011160000	0.000919837	0.000500000
0.899999976	0.020400001	0.001456022	0.000600000
1.100000024	0.030200001	0.001964688	0.000600000
1.299999952	0.039700001	0.002596151	0.000800000
1.490000010	0.049800001	0.003228002	0.000900000
1.700000048	0.056100000	0.003640055	0.001200000
1.889999986	0.064199999	0.004148494	0.001400000
2.089999914	0.071699999	0.004205948	0.001800000
2.289999962	0.073600002	0.005166236	0.002300000
2.490000010	0.082599998	0.005192302	0.003000000
2.690000057	0.083400004	0.005220153	0.004000000
2.890000105	0.089599997	0.005249762	0.005000000
3.210000038	0.075099997	0.005166236	0.006000000
3.710000038	0.057399999	0.003640055	0.010000000
------------------------
kaon	v4	cent1
0.509999990	0.004000000	0.002905581	0.001700000
0.699999988	0.006500000	0.004010499	0.001400000
0.899999976	0.010800000	0.005024938	0.001400000
1.100000024	0.020199999	0.008050467	0.001600000
1.299999952	0.030300001	0.011088734	0.002000000
1.490000010	0.041499998	0.013138113	0.002400000
1.700000048	0.044199999	0.013152947	0.003000000
1.889999986	0.049699999	0.013184840	0.004000000
2.089999914	0.044300001	0.011180339	0.005000000
2.289999962	0.064300001	0.015277762	0.006000000
2.490000010	0.071599998	0.016316863	0.008000000
2.690000057	0.063000001	0.014277255	0.010000000
2.890000105	0.075099997	0.016357264	0.013000000
3.210000038	0.092000000	0.020396078	0.015000000
3.710000038	0.047400001	0.010218121	0.027000001
------------------------
kaon	v2	cent2
0.509999990	0.032550000	0.002210000	0.000320000
0.699999988	0.057100002	0.002630589	0.000260000
0.899999976	0.081050001	0.003041381	0.000270000
1.100000024	0.102640003	0.003569314	0.000310000
1.289999962	0.121699996	0.004079216	0.000400000
1.490000010	0.136500001	0.004100000	0.000500000
1.700000048	0.148399994	0.005099020	0.000600000
1.889999986	0.158299997	0.005099020	0.000700000
2.089999914	0.163800001	0.005119571	0.000900000
2.289999962	0.167400002	0.005119571	0.001100000
2.490000010	0.170100003	0.005119571	0.001400000
2.690000057	0.170100003	0.005119571	0.001900000
2.890000105	0.169100001	0.005119571	0.002400000
3.210000038	0.166999996	0.005119571	0.002700000
3.710000038	0.156299993	0.005099020	0.005000000
------------------------
kaon	v3	cent2
0.509999990	0.004580000	0.001503330	0.000900000
0.699999988	0.014070000	0.001922004	0.000700000
0.899999976	0.024400000	0.002745906	0.000700000
1.100000024	0.035599999	0.004060788	0.000800000
