 Npart: 344 err: 11
 
   x         ex          y        +ey        -ey  
3.500000  0.000000  229.078400  21.270126  -27.795715 
3.700000  0.000000  199.130966  26.839935  -20.328918 
3.900000  0.000000  178.268402  22.922989  -22.455902 
4.100000  0.000000  154.803787  21.896896  -21.608902 
4.300000  0.000000  133.000031  20.148743  -21.228989 
4.500000  0.000000  111.683022  19.399620  -19.490669 
4.700000  0.000000  93.243301  17.661430  -18.367096 
4.900000  0.000000  78.598877  14.258728  -18.600262 
5.100000  0.000000  63.335785  13.696289  -15.805023 
5.300000  0.000000  52.994705  10.398197  -15.696049 

Npart: 138 err: 6
 
 
   x         ex          y        +ey        -ey   
 -------------------------------------------------------  
-5.300000  0.000000  40.981140  7.568790  -11.219124 
-5.100000  0.000000  48.101479  10.080791  -10.999622 
-4.900000  0.000000  58.486591  10.687733  -12.657280 
-4.700000  0.000000  70.522568  10.984207  -14.521336 
-4.500000  0.000000  77.782028  17.299362  -10.198418 
-4.300000  0.000000  93.465065  16.246712  -13.038193 
-4.100000  0.000000  109.240913  15.883614  -14.985550 
-3.900000  0.000000  123.177246  17.796112  -14.497734 
-3.700000  0.000000  136.880280  19.985733  -13.646973 
-3.500000  0.000000  151.182358  21.217194  -13.751663 
-3.300000  0.000000  165.844223  21.352890  -15.017258 
-3.100000  0.000000  183.283630  17.655731  -20.214355 
-2.900000  0.000000  191.909439  21.475159  -17.984863 
-2.700000  0.000000  204.114319  20.261246  -20.831879 
-2.500000  0.000000  209.879349  23.954956  -18.741409 
-2.300000  0.000000  221.708298  20.040146  -24.144669 
-2.100000  0.000000  225.853531  22.300400  -23.173721 
-1.900000  0.000000  230.802872  22.315262  -24.173843 
-1.700000  0.000000  235.839722  20.887177  -26.281799 
-1.500000  0.000000  236.911942  22.166489  -25.304672 
-1.300000  0.000000  239.285583  21.000519  -26.375916 
-1.100000  0.000000  237.812439  22.679718  -24.218048 
-0.900000  0.000000  237.893509  21.998245  -24.096069 
-0.700000  0.000000  236.014008  22.748047  -22.340210 
-0.500000  0.000000  237.033157  20.445602  -23.628616 
-0.300000  0.000000  234.319595  22.173203  -21.131088 
-0.100000  0.000000  234.103546  22.140137  -20.892685 
0.100000  0.000000  232.349670  23.894012  -19.138809 
0.300000  0.000000  233.450089  23.042709  -20.261581 
0.500000  0.000000  234.004272  23.474487  -20.599731 
0.700000  0.000000  235.645355  23.116699  -21.971558 
0.900000  0.000000  236.420578  23.471176  -22.623138 
1.100000  0.000000  235.035995  25.456161  -21.441605 
1.300000  0.000000  233.521255  26.764847  -20.611588 
1.500000  0.000000  234.757706  24.320724  -23.150436 
1.700000  0.000000  232.151733  24.575165  -22.593811 
1.900000  0.000000  231.462402  21.655731  -24.833374 
2.100000  0.000000  229.165100  18.988831  -26.485306 
2.300000  0.000000  219.417709  22.330719  -21.854095 
2.500000  0.000000  210.954773  22.879517  -19.816833 
2.700000  0.000000  202.076889  22.298676  -18.794449 
2.900000  0.000000  193.281693  20.102890  -19.357132 
3.100000  0.000000  187.912537  13.026810  -24.843277 
3.300000  0.000000  173.104156  14.092941  -22.277206 
3.500000  0.000000  158.665527  13.733994  -21.234848 
3.700000  0.000000  138.871643  17.994370  -15.638336 
3.900000  0.000000  123.782196  17.191132  -15.102699 
4.100000  0.000000  109.836678  15.287811  -15.581345 
4.300000  0.000000  94.937096  14.774681  -14.510223 
4.500000  0.000000  80.156425  14.924965  -12.572815 
4.700000  0.000000  70.062309  11.444435  -14.061104 
4.900000  0.000000  59.255318  9.919006  -13.426006 
5.100000  0.000000  48.607998  9.574249  -11.506161 
5.300000  0.000000  41.960190  6.589741  -12.198174 

Npart:   93 err: 5
 
 
   x         ex          y        +ey        -ey   
 -------------------------------------------------------  
-5.300000  0.000000  29.877424  5.348680  -8.560957 
-5.100000  0.000000  33.691338  7.959045  -7.433529 
-4.900000  0.000000  40.900539  7.971889  -8.848530 
-4.700000  0.000000  49.878662  6.982246  -11.164654 
-4.500000  0.000000  53.220970  12.318939  -7.018402 
-4.300000  0.000000  64.484451  10.301918  -10.075352 
-4.100000  0.000000  74.361710  10.071373  -11.206387 
-3.900000  0.000000  82.292580  11.985306  -10.089226 
-3.700000  0.000000  90.220284  13.878357  -8.941635 
-3.500000  0.000000  98.831459  14.839905  -8.730026 
-3.300000  0.000000  108.680870  14.107506  -10.261665 
-3.100000  0.000000  121.947540  9.325851  -15.914841 
-2.900000  0.000000  125.489777  13.501251  -12.680016 
-2.700000  0.000000  131.561279  14.288742  -12.875031 
-2.500000  0.000000  135.853836  15.946838  -12.197014 
-2.300000  0.000000  141.713898  15.114304  -13.953865 
-2.100000  0.000000  145.558090  15.386185  -14.495773 
-1.900000  0.000000  149.144577  15.034088  -15.500504 
-1.700000  0.000000  152.068558  14.504333  -16.479019 
-1.500000  0.000000  153.668945  14.508682  -16.687912 
-1.300000  0.000000  154.095886  14.959457  -16.198257 
-1.100000  0.000000  154.842575  14.446823  -16.424667 
-0.900000  0.000000  154.531250  14.468674  -15.905258 
-0.700000  0.000000  154.135880  14.226517  -15.516998 
-0.500000  0.000000  155.645096  11.973297  -17.134506 
-0.300000  0.000000  152.999252  14.060837  -14.572556 
-0.100000  0.000000  152.972809  14.000763  -14.488327 
0.100000  0.000000  149.794601  17.178970  -11.310120 
0.300000  0.000000  151.782593  15.277496  -13.355896 
0.500000  0.000000  153.495148  14.123245  -14.984558 
0.700000  0.000000  153.097916  15.264481  -14.479034 
0.900000  0.000000  151.989822  17.010101  -13.363831 
1.100000  0.000000  151.420715  17.868683  -13.002808 
1.300000  0.000000  152.737732  16.317596  -14.840103 
1.500000  0.000000  153.199066  14.978561  -16.218033 
1.700000  0.000000  150.983475  15.589417  -15.393936 
1.900000  0.000000  148.733597  15.445068  -15.089523 
2.100000  0.000000  147.036407  13.907867  -15.974091 
2.300000  0.000000  141.784958  15.043243  -14.024925 
2.500000  0.000000  139.299301  12.501373  -15.642479 
2.700000  0.000000  133.309647  12.540375  -14.623398 
2.900000  0.000000  124.384232  14.606781  -11.574478 
3.100000  0.000000  121.207779  10.065598  -15.175087 
3.300000  0.000000  113.969757  8.818611  -15.550568 
3.500000  0.000000  102.340714  11.330643  -12.239296 
3.700000  0.000000  92.809639  11.289001  -11.530991 
3.900000  0.000000  84.118805  10.159065  -11.915459 
4.100000  0.000000  72.661690  11.771370  -9.506390 
4.300000  0.000000  63.864304  10.922066  -9.455204 
4.500000  0.000000  55.003082  10.536827  -8.800514 
4.700000  0.000000  48.912209  7.948681  -10.198215 
4.900000  0.000000  40.961990  7.910439  -8.909981 
5.100000  0.000000  34.000664  7.649704  -7.742868 
5.300000  0.000000  29.296186  5.929918  -7.979719 

 
Npart:   93 err: 5 
 
   x         ex          y        +ey        -ey   
 -------------------------------------------------------  
-5.300000  0.000000  19.495556  3.959185  -5.753398 
-5.100000  0.000000  22.525454  4.976526  -5.628538 
-4.900000  0.000000  27.042273  4.957647  -6.467663 
-4.700000  0.000000  31.523439  5.394526  -6.750582 
-4.500000  0.000000  35.478474  6.721642  -6.026611 
-4.300000  0.000000  39.567173  8.197910  -5.037910 
-4.100000  0.000000  47.149559  6.359947  -7.268120 
-3.900000  0.000000  51.605892  7.708443  -6.252991 
-3.700000  0.000000  55.858059  9.195667  -5.085136 
-3.500000  0.000000  62.647949  7.956985  -6.672131 
-3.300000  0.000000  66.826973  9.030472  -6.007133 
-3.100000  0.000000  75.856720  4.863350  -10.656326 
-2.900000  0.000000  76.470299  8.654488  -7.415123 
-2.700000  0.000000  80.580353  8.447029  -8.218559 
-2.500000  0.000000  83.763878  8.641495  -8.633629 
-2.300000  0.000000  86.126587  9.127388  -8.733543 
-2.100000  0.000000  88.219337  9.362183  -9.023605 
-1.900000  0.000000  89.516617  9.888458  -8.927505 
-1.700000  0.000000  91.487076  9.260307  -9.863075 
-1.500000  0.000000  91.713608  9.922295  -9.365036 
-1.300000  0.000000  93.201118  8.903770  -10.392929 
-1.100000  0.000000  92.785248  9.416046  -9.737732 
-0.900000  0.000000  92.325340  9.669113  -9.210915 
-0.700000  0.000000  93.632668  7.954819  -10.568169 
-0.500000  0.000000  93.586136  7.537636  -10.622498 
-0.300000  0.000000  90.052917  10.724693  -7.168114 
-0.100000  0.000000  92.344429  8.375603  -9.448204 
0.100000  0.000000  91.345810  9.374222  -8.449585 
0.300000  0.000000  91.776321  9.001289  -8.891518 
0.500000  0.000000  91.942360  9.181412  -8.978722 
0.700000  0.000000  90.902725  10.684761  -7.838226 
0.900000  0.000000  92.882927  9.111526  -9.768501 
1.100000  0.000000  91.642471  10.558823  -8.594955 
1.300000  0.000000  91.810196  10.294693  -9.002007 
1.500000  0.000000  92.429947  9.205948  -10.081375 
1.700000  0.000000  91.510567  9.236816  -9.886566 
1.900000  0.000000  90.282257  9.122818  -9.693146 
2.100000  0.000000  87.921989  9.659531  -8.726257 
2.300000  0.000000  85.936996  9.316978  -8.543953 
2.500000  0.000000  83.562782  8.842590  -8.432541 
2.700000  0.000000  80.657883  8.369499  -8.296089 
2.900000  0.000000  77.458519  7.666260  -8.403351 
3.100000  0.000000  76.118652  4.601410  -10.918266 
3.300000  0.000000  70.020309  5.837135  -9.200474 
3.500000  0.000000  63.875259  6.729668  -7.899448 
3.700000  0.000000  57.580208  7.473518  -6.807285 
3.900000  0.000000  51.598579  7.715748  -6.245686 
4.100000  0.000000  45.298100  8.211395  -5.416672 
4.300000  0.000000  40.766087  6.998997  -6.236824 
4.500000  0.000000  35.117466  7.082649  -5.665604 
4.700000  0.000000  32.028782  4.889172  -7.255936 
4.900000  0.000000  26.119835  5.880085  -5.545225 
5.100000  0.000000  22.524298  4.977673  -5.627390 
5.300000  0.000000  19.780287  3.674454  -6.038129 
